component_code,component_name
"F1000","Adobe Beige"
"F1040","Autumn Brown"
"F1045","Beige"
"F1050","Black"
"F1060","Brown"
"F1090","Charcoal"
"F1100","Cocoa Brown"
"F1160","Dove Gray"
"F1320","Fawn"
"F1410","Granite"
"F1415","Graphite"
"F1420","Hunter Green"
"F1425","Ivory"
"F1430","Jasper"
"F1480","Medium Gray"
"F1570","Mustard"
"F1600","Olive"
"F1640","Patio Red"
"F1760","Rose"
"F1770","Salmon"
"F1780","Scone"
"F1785","Tan"
"F1800","Whisper Gray"
"F1820","White"
"F2160","Orange"
"F2250","Semi-Transparent White"
"F2510","Purple Gray"
"F2563","Rhino Gray"
"F3080","Lanai Gray"
"F3100","Maui Blue"
"F5052","Chocolate"
"F5114","Ebony"
"F5115","Putty"
"F5116","Wigwam"
"F5117","Acorn"
"F5182","Space Gray"
"F5201","Moonshine"
"F5252","Cement"
"F5303","Cappuccino"
"F5305","Tabu"
"F5306","Porpoise"
"F5910","JD Green"
"F5920","Cyberspace"
"F6601","Buff"
"F6602","Latte"
"F6604","Primary Blue"
"F6606","Neutral Gray"
"F6607","Clay"
"F6613","Sage"
"F6621","Stormy Blue"
"F7551","Terra Cotta"
"F9303","Pumice"
"F9304","Obsidian"
"F9307","Schist"
"F9309","Basalt"
"F9311","Dolerite"
"F9317","Metapelite"
"F9320","Soapstone"
"F9800","Sommelier"
"F9801","Dolphin"
"F9806","Chiffon"
"F9902","Black Iron Oxide"
"F9903","Online"
"F9909","Sugar Cookie"
"F9911","Fossil"
"F9951","Plum"
"F9952","Aquamarine"
"F9954","Caramel"
"F9955","Battleship Gray"
"F9956","Khaki"
"F9957","Taupe"
"F9958","Alpaca White"
"F9959","Antique White"
"F9960","Navajo Beige"
"F9961","Functional Gray"
"F9964","Sky Blue"
"F9965","Lavender"
"F9966","Morning Fog"
"F9969","Navy"
"F9972","Moody Blue"
"F9973","Coppertone"
"F9975","Raisin"
"F9982","Gravy"
"F9986","Eggshell"
"F9987","Stone"
"F9989","Purple Haze"
